"TimeGenerated","UserName","exe","Computer"
2021-04-14 07:56:04,NT AUTHORITY\SYSTEM,FONTDRVHOST.EXE,EC2AMAZ-ORDB47B.sentinel.local
2021-04-14 07:56:04,NT AUTHORITY\SYSTEM,FONTDRVHOST.EXE,EC2AMAZ-ORDB47B.sentinel.local
2021-04-14 14:37:21,SENTINEL\Administrator,POWERSHELL.EXE,EC2AMAZ-ORDB47B.sentinel.local
2021-04-14 14:37:20,SENTINEL\Administrator,CMD.EXE,EC2AMAZ-ORDB47B.sentinel.local
2021-04-14 14:37:20,SENTINEL\Administrator,CONHOST.EXE,EC2AMAZ-ORDB47B.sentinel.local
2021-04-14 14:37:11,SENTINEL\Administrator,MOBSYNC.EXE,EC2AMAZ-ORDB47B.sentinel.local
2021-04-14 15:56:06,SENTINEL\Administrator,DISMHOST.EXE,EC2AMAZ-ORDB47B.sentinel.local
2021-04-14 14:36:55,NT AUTHORITY\SYSTEM,DWM.EXE,EC2AMAZ-ORDB47B.sentinel.local
2021-04-14 14:51:59,SENTINEL\Administrator,TASKHOSTW.EXE,EC2AMAZ-ORDB47B.sentinel.local
2021-04-14 15:29:37,SENTINEL\Administrator,MMC.EXE,EC2AMAZ-ORDB47B.sentinel.local
2021-04-14 15:29:38,SENTINEL\Administrator,DLLHOST.EXE,EC2AMAZ-ORDB47B.sentinel.local
2021-04-14 15:29:42,SENTINEL\Administrator,WERFAULT.EXE,EC2AMAZ-ORDB47B.sentinel.local
2021-04-14 15:29:46,SENTINEL\Administrator,CMD.EXE,EC2AMAZ-ORDB47B.sentinel.local
2021-04-14 15:29:46,SENTINEL\Administrator,CONHOST.EXE,EC2AMAZ-ORDB47B.sentinel.local
2021-04-14 15:30:39,SENTINEL\Administrator,POWERSHELL.EXE,EC2AMAZ-ORDB47B.sentinel.local