"Application","Count"
CONHOST.EXE,22
POWERSHELL.EXE,17
DLLHOST.EXE,11
TASKHOSTW.EXE,10
NOTEPAD.EXE,8
MMC.EXE,4
TSTHEME.EXE,4
FONTDRVHOST.EXE,3
CMD.EXE,3
RUNDLL32.EXE,3
CTFMON.EXE,3
POWERSHELL_ISE.EXE,3
EXPLORER.EXE,2
CSC.EXE,2
CVTRES.EXE,2
RDPCLIP.EXE,2
WERFAULT.EXE,2
SIHOST.EXE,1
DISMHOST.EXE,1
SVCHOST.EXE,1
USERINIT.EXE,1
SECURITYHEALTHSYSTRAY.EXE,1
DWM.EXE,1
CLEANMGR.EXE,1
SERVERMANAGERLAUNCHER.EXE,1
RUNTIMEBROKER.EXE,1
APPLICATIONFRAMEHOST.EXE,1
ATBROKER.EXE,1
SDIAGNHOST.EXE,1
SMARTSCREEN.EXE,1
GPUPDATE.EXE,1
APPHOSTREGISTRATIONVERIFIER.EXE,1
SPEECHRUNTIME.EXE,1
MOBSYNC.EXE,1